Tweet,Hate Speech
I agree with so much that farage says! But theres just something about this guy he has his own agenda !!,0
LordAshcroft: Panelbase poll LAB 34% CON 32% UKIP 17% LDEM 8% GRNS 4%,0
Nose. Face. Spite. ,0
IrvineWelsh: Miliband's confirmation he would rather have Con govt than Lab one with SNP support is continuation of his siding with Conâ,0
NickCohen4: Nick Clegg could be a brilliantly convincing politician if he wasn't Nick Clegg,0
You have to put Farage in the Commons even if you support another party. He will keep them honest! #SouthThanet,0
"UKIP: #UKIP Leader @Nigel_Farage: ""I've had a chequered health career, and here's what I've learned"" #AskNigelFarage #NHS câ",0
"BBCDouglasF: Miliband gift to SNP: I'd rather Tories in power than any SNP deal with Labour (works in England, unlikely to do so in Scoâ",0
Markfergusonuk: David Cameron says he's hungrier than he was five years ago. So are all of the people reliant on food banks...,0
"i may look strong, hey :-(",0
First day of work=no more walking for the rest of my life :-),0
@ManOfZinc And I don't see a penny of it... :-( DM me your email address; I'll send you the ebook.,0
"as much as I don't like UKIP, I have to admit Nigel Farage is a good public speaker. that's what makes him dangerous #AskNigelFarage",0
"rurallabouruk: Tonight's You Gov Poll 
Labour move ahead
LAB - 35% (+1)
CON - 34% (-1)
UKIP - 12% (-)
LDEM - 8% (-1) 
GRN - 5% (+1)",0
"___BJA: Jo Coburn is a nob. Farage makes sensible suggestion, she interrupts then makes snide comment as she moves on. #AskNigelFarage",0
TonksterUKIP: The best political leader by a mile Nigel Farage a true master class,0
"NicolaSturgeon: If Miliband is going to let Tories in rather than work with SNP, we will definitely need lots of SNP MPs to protect Scoâ",0
LabourEoin: Gosh!   Ed Miliband absolutely thumped David Cameron on the twitter worm tonight.... #BBcqt ,0
never ending love for ed milliband #nerdlover #goofball,0
GerardWoodhous1: Wow. Tory MPs can read each others' minds and type and the exact same time................ #BBCqt ,0
HelenP3617: Did you hear that #Wales?? Ed Miliband has just condemed us to another 5 years of Tory rule. Time 2 vote #Plaid15  ,0
I was talking about radio which already happened :) and the tweet was made like a week ago you fucking freak  ,1
#OpenFollow SNP leader faces audience questions: Nicola Sturgeon is grilled about the SNP's ro... gGyO9E6Mma #TeamFollowBack,0
"NicolaSturgeon: If Miliband is going to let Tories in rather than work with SNP, we will definitely need lots of SNP MPs to protect Scoâ",0
"joncstone: ICM snap poll for the #bbcqt special has a solid win for David Cameron: 

44% Cameron
38% Miliband
19% Clegg C3Gâ",0
BurpTv: Now a vote for UKIP IS NOT A WASTED  VOTE!!!!,0
IndiScot: Milliband would rather none of his policies implement in favour of Tories implementing theirs. Why? ESSNNPP BAD! what a crockâ,1
"GeorgeAylett: Clegg's Sheffield Hallam constituency poll (Lord Ashcroft):
LABOUR 37%
CLEGG 36%

Help @olivercoppard oust him
#bbcqt httâ",0
@tehcoder42 @Nigel_Farage Do find some integrity. Now for the reality. Oh &amp; pic 4 (young UKIP all races): stphhaGGes,0
Heyyyyy i wanted to see yeols solo danceeeeee :((((((((((((((,0
Has anyone asked Miliband WHY he would rather not form government than deal with a party with an almost completely compatible manifesto?,0
@IanHallard Wonderful news! Best of luck with it x. Shame I'll again have to miss it :(.,0
I'm freezing :(,0
"@yokotaso_modoki 
I'm not good at Japanese likewise, either :(",0
UKIP: #UKIP Leader @Nigel_Farage on why @UKIP is committed to spending 2% of GDP on defence #AskFarage #AskNigelFarage,0
@ChasMumford @busybuk @tedpugh You missed it Chas? Shame Farage smashed it! UKIP bounce on the way!,0
"Bonn1eGreer: ""Ed  slipped on #DavidCameron 's sweat..""via @benglaze-@Kevin_Maguire
#shyster 
#Tories
#GE2015
#Milibrand 
https://t.co/Zâ",0
@Barrastinian @chunkymark they would call it the Anti-Christ m8 :D,1
@submarjne IS FHAT ED MILIBAND,0
@janpaul love me just a little bit more :-),0
@JohnTorode1 @BBCOne @MasterChefUK think it'll be sam but would love it to be @Rylan !!  He's made the biggest improvement from the start :),0
"AuG I'm super packed. But however, I rather to have things to do rather then work and home :)",0
@jimvghan @blogdignag @yozzerscfc ukip are torries anyway why is everyone so thick ad shit?! I promised i would read and not tweet ...but,1
"GeorgeAylett: Clegg has voted with the government 99.6% of the time.
Remember this in the polling booth.
#bbcqt vOd1bycG6F",0
